,0um,50um,150um,200um,250um,300um,350um,400um,450um,500um
3.58E+00,9.68E+22,7.50E+22,5.20E+22,4.73E+22,3.79E+22,2.82E+22,1.86E+22,9.22E+21,4.87E+21,4.87E+21
3.60E+00,6.27E+22,4.58E+22,4.16E+22,2.29E+22,1.85E+22,2.34E+22,1.85E+22,4.70E+21,4.70E+21,4.70E+21
3.63E+00,9.42E+22,5.39E+22,4.50E+22,4.02E+22,4.04E+22,3.13E+22,3.14E+22,2.70E+22,1.38E+22,9.14E+21
3.65E+00,8.69E+22,6.24E+22,5.34E+22,2.24E+22,8.97E+21,8.57E+21,1.34E+22,1.36E+22,1.80E+22,1.80E+22
3.67E+00,8.89E+22,8.54E+22,6.76E+22,3.14E+22,2.24E+22,2.24E+22,2.67E+22,2.24E+22,2.69E+22,2.27E+22
3.70E+00,8.68E+22,1.07E+23,7.66E+22,4.03E+22,3.57E+22,3.10E+22,1.74E+22,1.74E+22,1.74E+22,1.32E+22
3.72E+00,6.20E+22,7.30E+22,8.65E+22,6.79E+22,5.86E+22,3.62E+22,1.81E+22,1.81E+22,1.81E+22,1.81E+22
3.75E+00,6.82E+22,4.70E+22,3.41E+22,3.41E+22,2.57E+22,2.13E+22,2.56E+22,2.17E+22,1.72E+22,1.72E+22
3.78E+00,7.62E+22,7.14E+22,5.31E+22,4.82E+22,2.66E+22,1.38E+22,1.38E+22,9.13E+21,9.13E+21,9.05E+21
3.80E+00,5.25E+22,6.08E+22,4.34E+22,2.61E+22,3.03E+22,3.03E+22,2.57E+22,2.16E+22,8.67E+21,8.67E+21
3.83E+00,1.06E+23,8.27E+22,6.05E+22,5.29E+22,3.14E+22,3.14E+22,2.24E+22,2.24E+22,2.24E+22,2.22E+22
3.85E+00,6.35E+22,4.72E+22,2.57E+22,2.18E+22,8.77E+21,8.77E+21,1.31E+22,1.74E+22,8.75E+21,4.35E+21
